item	backlog	stage	no_ai	with_ai	status	title
0.1.4.3	0.1.4	0.1	4.0	3.0	Done	Процесс деплоя на Prod
0.1.4.4	0.1.4	0.1	2.0	1.0	Done	Smoke-проверки после выкладки
0.1.4.5	0.1.4	0.1	5.0	3.0	Todo	Автоматизировать CI/CD через GitLab
0.1.4.6	0.1.4	0.1	3.0	2.0	Todo	SCA зависимостей в CI (GitLab/Sonar)
0.1.4.7	0.1.4	0.1	3.0	2.0	Todo	IIS URL Rewrite легаси ↔ новый UI
0.1.5.1	0.1.5	0.1	2.0	1.0	Done	Собрать требования к RO-фреймворку
0.1.5.2	0.1.5	0.1	4.0	2.5	Done	Исследовательские работы
0.1.5.3	0.1.5	0.1	6.0	3.5	Done	Прототип (PoC)
0.1.5.4	0.1.5	0.1	4.0	2.0	Done	SQL-шаблон: таблицы, партиции, FTS, заливка
0.1.5.5	0.1.5	0.1	2.5	1.2	Done	Процедуры чтения грида и карточки
0.1.5.6	0.1.5	0.1	4.0	2.0	Done	C#-шаблон модуля (грид, деталь, ресурсы, меню)
0.1.5.7	0.1.5	0.1	2.5	1.2	Done	Интеграционные и юнит-тесты шаблона
0.1.5.8	0.1.5	0.1	1.5	1.0	Done	Внутреннее ручное тестирование шаблона
0.1.5.9	0.1.5	0.1	1.5	0.8	Done	Краткий отчёт (видимые поля)
0.1.5.10	0.1.5	0.1	1.5	0.8	Done	Полный отчёт (полный набор полей)
0.1.5.11	0.1.5	0.1	2.0	1.0	Done	Подтверждение больших выгрузок, таймауты
0.1.5.12	0.1.5	0.1	1.0	0.8	Done	Внутреннее ручное тестирование отчётов
0.1.5.13	0.1.5	0.1	0.0	2.5	Done	Передать экспертные знания навыку агента (RO)
0.1.5.14	0.1.5	0.1	0.0	2.5	Done	Конфигурация skills/commands для RO-справочника
0.1.6.1	0.1.6	0.1	2.0	1.0	Done	Собрать требования по пилоту «Ставки»
0.1.6.2	0.1.6	0.1	12.0	5.0	Done	Полный цикл RO «Ставки» (вкл. отчёты) с AI
0.1.6.3	0.1.6	0.1	5.0	3.0	Done	Исправить ошибки фреймворка
0.1.6.4	0.1.6	0.1	4.0	2.5	Done	Нестандартный функционал «Ставки»
0.1.6.5	0.1.6	0.1	2.0	1.5	Done	Внутреннее тестирование
0.1.6.6	0.1.6	0.1	2.0	2.0	Done	UAT пилота «Ставки» RO
0.1.7.1	0.1.7	0.1	2.0	1.0	Done	Собрать требования к синхронизации
0.1.7.2	0.1.7	0.1	4.0	2.5	Done	Спроектировать механизм синхронизации
0.1.7.3	0.1.7	0.1	12.0	6.0	Done	Написать код фреймворка синхронизации
0.1.7.4	0.1.7	0.1	3.0	2.0	Done	Внутреннее тестирование фреймворка sync
0.1.7.5	0.1.7	0.1	1.5	1.0	Done	Оперативный выключатель V2SyncEnabled
0.1.7.6	0.1.7	0.1	2.0	1.5	Todo	Алерты отставания курсора
0.1.7.7	0.1.7	0.1	1.0	0.8	Todo	Алерт на отказ цикла сверки удалений
0.1.7.8	0.1.7	0.1	2.0	1.5	Todo	Подключить алерты к техподдержке
0.1.7.9	0.1.7	0.1	3.0	2.0	Todo	Автосверка по кодам (письмо в поддержку)
0.1.7.10	0.1.7	0.1	1.5	1.0	Todo	Reconciliation только IsArchive=1
0.1.7.11	0.1.7	0.1	3.0	2.0	Done	Оценка ёмкости Blazor Server и алерты
0.1.7.12	0.1.7	0.1	2.0	1.0	Todo	Конфигурация retention policy (без purge)
0.1.8.1	0.1.8	0.1	1.0	0.5	Done	Требования для переноса «Ставки» (sync)
0.1.8.2	0.1.8	0.1	3.0	1.5	Done	Подключить «Ставки» к sync с AI
0.1.8.3	0.1.8	0.1	1.5	1.0	Done	Права только на чтение (Windows Auth + dbo.Role)
0.1.8.4	0.1.8	0.1	2.0	1.5	Done	Протестировать синхронизацию
0.1.8.5	0.1.8	0.1	3.0	2.0	Done	Исправить дефекты фреймворка sync
0.1.8.6	0.1.8	0.1	2.0	1.5	Done	Внутреннее тестирование
0.1.8.7	0.1.8	0.1	2.0	2.0	Done	UAT sync «Ставки»
0.1.8.8	0.1.8	0.1	4.0	3.5	Done	Релиз на прод + dual-run
0.2.1.1	0.2.1	0.2	3.0	2.0	Todo	Анализ логов легаси (профиль нагрузки)
0.2.1.2	0.2.1	0.2	5.0	3.0	Todo	Тестовый объём ~10 млн
0.2.1.3	0.2.1	0.2	3.0	2.0	Todo	Сценарий: конкурентное чтение
0.2.1.4	0.2.1	0.2	1.5	1.0	Todo	Сценарий: холостой sync
0.2.1.5	0.2.1	0.2	1.0	0.8	Todo	Сценарий: единичное изменение → snapshot
0.2.1.6	0.2.1	0.2	2.0	1.5	Todo	Сценарий: batch 30 тыс.
0.2.1.7	0.2.1	0.2	2.0	1.5	Todo	Сценарий: массовое изменение 100К
0.2.1.8	0.2.1	0.2	2.0	1.5	Todo	Сценарий: fan-out родителя
0.2.1.9	0.2.1	0.2	2.0	1.5	Todo	Сценарий: reconciliation IsArchive=1
0.2.1.10	0.2.1	0.2	4.0	2.5	Todo	Комбо: пик чтения + изменение + sync
0.2.1.11	0.2.1	0.2	2.0	1.5	Todo	Сценарии 2–6 с sync on/off
0.2.1.12	0.2.1	0.2	1.5	1.0	Todo	Метрики CPU/IO/log/tempdb
0.2.1.13	0.2.1	0.2	2.0	1.5	Todo	Отказ под нагрузкой
0.2.1.14	0.2.1	0.2	1.5	1.0	Todo	Сверка с критериями приёмки + протокол
0.2.1.15	0.2.1	0.2	2.0	1.5	Todo	Часовой бэкап vs суточный при 10 млн
0.2.2.1	0.2.2	0.2	2.0	1.0	Done	Реестр переносимых справочников по группам
0.2.2.2	0.2.2	0.2	1.0	0.5	Todo	Проверить объём 38 вне скоупа vs лимит Excel
0.2.2.3	0.2.2	0.2	3.0	1.5	Todo	Составить требования к переносу
0.2.2.4	0.2.2	0.2	2.0	1.0	Partial	Реализовать меню по catalogs-scope
0.2.2.5	0.2.2	0.2	3.0	2.0	Todo	Инвентаризация SQL Agent job'ов жёсткого удаления
0.2.2.6	0.2.2	0.2	2.0	1.0	Todo	Dependency-тест границ модулей в CI
0.2.2.7	0.2.2	0.2	1.0	1.0	Todo	Письменное подтверждение ИБ по read-only
0.2.3.1	0.2.3	0.2	8.0	2.5	Done	RO AverageRateLevel3: Средневзвешенные ставки 3 уровня
0.2.3.2	0.2.3	0.2	5.0	1.5	Done	RO ParityRates: Паритетные ставки
0.2.3.3	0.2.3	0.2	3.5	1.0	Todo	RO RateType: Тип ставки
0.2.3.4	0.2.3	0.2	3.5	1.0	Todo	RO Contractor: Контрагенты
0.2.3.5	0.2.3	0.2	5.0	1.5	Todo	RO Coefficient: Коэффициент
0.2.3.6	0.2.3	0.2	5.0	1.5	Todo	RO Priority_Rate: Приоритеты типов ставок
0.2.3.7	0.2.3	0.2	3.5	1.0	Todo	RO RateSyncClass: Класс синхронизации ставок
0.2.3.8	0.2.3	0.2	3.5	1.0	Todo	RO Basis: Базисы поставки
0.2.3.9	0.2.3	0.2	3.5	1.0	Todo	RO CoefficientType: Тип коэффициента
0.2.3.10	0.2.3	0.2	3.5	1.0	Todo	RO CoefficientCondition: Условие коэффициента
0.2.3.11	0.2.3	0.2	3.5	1.0	Todo	RO CoefficientComponent: Составляющая коэффициента
0.2.3.12	0.2.3	0.2	3.5	1.0	Todo	RO RateCalcType: Способ расчёта ставки
0.2.3.13	0.2.3	0.2	3.5	1.0	Todo	RO RateComponentType: Тип составляющей ставки
0.2.3.14	0.2.3	0.2	3.5	1.0	Todo	RO RateAutoSelectionSetting: Настройка автоподбора ставок
0.2.3.15	0.2.3	0.2	3.5	1.0	Todo	RO RateKind: Вид ставки
0.2.3.16	0.2.3	0.2	3.5	1.0	Todo	RO Relevance: Актуальность
0.2.3.17	0.2.3	0.2	8.0	2.5	Todo	RO TransportRequest: Расчёт стоимости транспортировки
0.2.3.18	0.2.3	0.2	8.0	2.5	Todo	RO MassiveRequest: Массовые расчёты стоимости транспортировки
0.2.3.19	0.2.3	0.2	5.0	1.5	Todo	RO ReportConstructor: Конструктор отчётов ставок
0.2.3.20	0.2.3	0.2	8.0	2.5	Done	RO TransportLegs: Транспортные плечи
0.2.3.21	0.2.3	0.2	5.0	1.5	Done	RO LocationsNodes: Местоположения-узлы
0.2.3.22	0.2.3	0.2	8.0	2.5	Todo	RO TransportRoute: Транспортный маршрут
0.2.3.23	0.2.3	0.2	5.0	1.5	Todo	RO Region: Регион
0.2.3.24	0.2.3	0.2	3.5	1.0	Todo	RO Country: Страна
0.2.3.25	0.2.3	0.2	3.5	1.0	Todo	RO TransportKind: Вид транспорта
0.2.3.26	0.2.3	0.2	3.5	1.0	Todo	RO TransportType: Тип транспорта
0.2.3.27	0.2.3	0.2	3.5	1.0	Todo	RO TransportType_level_3: Типы транспорта (3 уровень)
0.2.3.28	0.2.3	0.2	3.5	1.0	Todo	RO Federal_Districts: Федеральные округа
0.2.3.29	0.2.3	0.2	3.5	1.0	Todo	RO ShipmentType: Тип отправки
0.2.3.30	0.2.3	0.2	3.5	1.0	Todo	RO TypeNode: Тип узла
0.2.3.31	0.2.3	0.2	3.5	1.0	Todo	RO VehicleType: Тип подвижного состава
0.2.3.32	0.2.3	0.2	3.5	1.0	Todo	RO ProductGroup: Транспортные группы
0.2.3.33	0.2.3	0.2	3.5	1.0	Todo	RO MTR: Продукты
0.2.3.34	0.2.3	0.2	3.5	1.0	Todo	RO PlanFact: План-факт
0.2.3.35	0.2.3	0.2	5.0	1.5	Todo	RO MTR_DPO: Материалы DPO
0.2.3.36	0.2.3	0.2	3.5	1.0	Todo	RO DangerClass: Классы опасности
0.2.3.37	0.2.3	0.2	3.5	1.0	Todo	RO TransportTypeForProduct: Тип транспорта для продукта
0.2.3.38	0.2.3	0.2	5.0	1.5	Todo	RO WarehouseASVERP: Склады АСВ – ERP
0.2.3.39	0.2.3	0.2	5.0	1.5	Todo	RO WarehouseASVERPLimitation: Склады АСВ – ERP. Ограничения
0.2.3.40	0.2.3	0.2	5.0	1.5	Todo	RO OrganizationDPO: Организации DPO
0.2.3.41	0.2.3	0.2	3.5	1.0	Todo	RO WarehouseERP: Склады ERP
0.2.3.42	0.2.3	0.2	3.5	1.0	Todo	RO WarehouseOperator: Склад. Оператор склада SI
0.2.3.43	0.2.3	0.2	3.5	1.0	Todo	RO WarehouseSchedule: Склады. График работы
0.2.3.44	0.2.3	0.2	3.5	1.0	Todo	RO DepartmentNSI: Дирекция АСВ НСИ
0.2.3.45	0.2.3	0.2	3.5	1.0	Todo	RO OrganizationDPO_type: Типы организаций DPO
0.2.3.46	0.2.3	0.2	3.5	1.0	Todo	RO MKSourceNode: МК: Узел отправления
0.2.3.47	0.2.3	0.2	3.5	1.0	Todo	RO MKShippingFactory: МК: Завод отгрузки
0.2.3.48	0.2.3	0.2	3.5	1.0	Todo	RO MKDirection: МК: Направление
0.2.3.49	0.2.3	0.2	3.5	1.0	Todo	RO MkDirectionChannel: МК: Направление-канал
0.2.3.50	0.2.3	0.2	3.5	1.0	Todo	RO MkFactoryChannel: МК: Заводы-канал
0.2.3.51	0.2.3	0.2	5.0	1.5	Todo	RO MKSourceNodeQuota: МК: Общая квота по узлам отправления
0.2.3.52	0.2.3	0.2	5.0	1.5	Todo	RO MkDirectionChannelQuota: МК: Общая квота по направлениям-каналам
0.2.3.53	0.2.3	0.2	5.0	1.5	Todo	RO MkFactoryChannelQuota: МК: Общая квота по заводу-каналу
0.2.3.54	0.2.3	0.2	3.5	1.0	Todo	RO CBDNodeMapping: Меппинг между узлами ЦБД и СВТ
0.2.3.55	0.2.3	0.2	3.5	1.0	Todo	RO CBDTransportTypeMapping: Меппинг между типами транспорта ЦБД и СВТ
0.2.3.56	0.2.3	0.2	8.0	2.5	Todo	RO CBDRates: Справочник ставок и лидтаймов ЦБД
0.2.3.57	0.2.3	0.2	3.5	1.0	Todo	RO StatusSearch: Статусы результата поиска ставок для обновления ставок
0.2.3.58	0.2.3	0.2	5.0	1.5	Todo	RO Integration: Интеграция
0.2.3.59	0.2.3	0.2	3.5	1.0	Todo	RO FeatureToggle: Переключатель фич
0.2.3.60	0.2.3	0.2	3.5	1.0	Todo	RO CurrencyRate: Курсы валют (плановые)
0.2.3.61	0.2.3	0.2	3.5	1.0	Todo	RO Currency: Валюты
0.2.3.62	0.2.3	0.2	3.5	1.0	Todo	RO IntegrationDataType: Тип данных для интеграции
0.2.3.63	0.2.3	0.2	15.0	12.0	Partial	Доработка фреймворка/skill по ходу тиража RO
0.2.4.1	0.2.4	0.2	10.0	6.0	Todo	Сверка новых справочников с легаси
0.2.4.2	0.2.4	0.2	12.0	7.0	Todo	Доработка по результатам сверки
0.2.4.3	0.2.4	0.2	8.0	5.0	Todo	Нагрузочное тестирование
0.2.4.4	0.2.4	0.2	8.0	5.0	Todo	Внутреннее функциональное тестирование
0.2.4.5	0.2.4	0.2	10.0	6.0	Todo	Исправление дефектов
0.2.4.6	0.2.4	0.2	6.0	5.0	Todo	UAT
0.2.4.7	0.2.4	0.2	4.0	3.5	Todo	Релиз на продуктив
0.2.4.8	0.2.4	0.2	3.0	2.0	Todo	Подключить автосверку и алерты для перенесённых
0.3.1.1	0.3.1	0.3	5.0	3.0	Todo	Требования к модулю отчётов и ~10 отчётам
0.3.1.2	0.3.1	0.3	4.0	2.0	Todo	Каркас модуля отчётов
0.3.1.3	0.3.1	0.3	5.0	2.5	Todo	Пилотный отчёт вне справочников
0.3.1.4	0.3.1	0.3	40.0	16.0	Todo	Тираж отчётов (~10)
0.3.1.5	0.3.1	0.3	8.0	4.0	Todo	Отчёт ReportConstructor (Excel из архива ставок)
0.3.1.6	0.3.1	0.3	4.0	2.5	Todo	Внутреннее тестирование
0.3.1.7	0.3.1	0.3	3.0	2.5	Todo	UAT
0.3.1.8	0.3.1	0.3	0.5	0.5	Todo	Read отчётов по любой роли dbo.Role до 0.4
0.4.1.1	0.4.1	0.4	2.0	1.0	Todo	Инвентаризировать легаси-модель ролей
0.4.1.2	0.4.1	0.4	3.0	2.0	Todo	Спроектировать доменную ролевую модель
0.4.1.3	0.4.1	0.4	1.5	1.0	Todo	Перенести ограничения легаси (интеграционные/служебные)
0.4.1.4	0.4.1	0.4	0.5	0.5	Todo	Зафиксировать: Инициатор/Читатель — UX отчёта, не ИБ
0.4.1.5	0.4.1	0.4	3.0	2.5	Todo	Согласовать доменную модель с ИБ
0.4.1.6	0.4.1	0.4	8.0	4.0	Todo	Хранение ролей, проверки, маппинг AD
0.4.1.7	0.4.1	0.4	8.0	4.0	Todo	Админка ролевой модели
0.4.1.8	0.4.1	0.4	6.0	3.0	Todo	Проверки прав в меню/гриде/карточке/отчётах
0.4.1.9	0.4.1	0.4	3.0	1.5	Todo	Логирование действий пользователей
0.4.1.10	0.4.1	0.4	3.0	2.0	Todo	Миграция с бинарного read на доменную write-модель
0.4.1.11	0.4.1	0.4	3.0	2.0	Todo	Внутреннее тестирование
0.4.1.12	0.4.1	0.4	2.0	2.0	Todo	UAT
0.4.2.1	0.4.2	0.4	3.0	1.5	Todo	Матрица сетевого взаимодействия
0.5.1.1	0.5.1	0.5	4.0	2.5	Todo	Анализ и постановка CQRS write-ядра
0.5.1.2	0.5.1	0.5	12.0	6.0	Todo	Пайплайн authorize→validate→domain→persist
0.5.1.3	0.5.1	0.5	5.0	3.0	Todo	Идемпотентность, LWW, транзакционность
0.5.1.4	0.5.1	0.5	1.5	1.0	Todo	Точка расширения аудита (без записи до 1.0)
0.5.1.5	0.5.1	0.5	3.0	1.5	Todo	Доменный write-toggle V2WriteEnabled_{Домен}
0.5.1.6	0.5.1	0.5	4.0	2.5	Todo	Внутреннее тестирование write-ядра
0.5.2.1	0.5.2	0.5	10.0	5.0	Todo	Модуль расчёта (перенос из БД в C#)
0.5.2.2	0.5.2	0.5	3.0	2.0	Todo	Внутреннее тестирование модуля расчёта
0.5.3.1	0.5.3	0.5	10.0	5.0	Todo	Шаг persist: write-through в легаси-таблицы
0.5.3.2	0.5.3	0.5	3.0	2.0	Todo	Внутреннее тестирование persist
0.5.4.1	0.5.4	0.5	3.0	1.5	Todo	Модалка выбора элемента дочернего справочника
0.5.4.2	0.5.4	0.5	5.0	2.5	Todo	Адаптация UI-компонентов редактирования
0.5.4.3	0.5.4	0.5	4.0	2.0	Todo	Операции Создать/Редактировать/Архивировать
0.5.4.4	0.5.4	0.5	3.0	1.5	Todo	Валидация вводимых данных в UI
0.5.4.5	0.5.4	0.5	2.0	1.0	Todo	Проверка прав в редакторе
0.5.4.6	0.5.4	0.5	2.0	1.0	Todo	Трассировка и логирование операций
0.5.4.7	0.5.4	0.5	1.0	0.5	Todo	Вызов точки расширения аудита
0.5.4.8	0.5.4	0.5	3.0	2.0	Todo	Внутреннее тестирование UI-редактора
0.5.5.1	0.5.5	0.5	0.0	3.0	Todo	Экспертные знания навыку агента (редактор)
0.5.5.2	0.5.5	0.5	0.0	3.0	Todo	Конфигурация skills/commands для редактора
0.5.6.1	0.5.6	0.5	2.0	1.0	Todo	Опционально: при Save триггерить воркер sync
0.5.7.1	0.5.7	0.5	2.0	1.0	Todo	Сбор требований пилота «Транспортные плечи»
0.5.7.2	0.5.7	0.5	8.0	4.0	Todo	Валидация плеч (перенос из легаси)
0.5.7.3	0.5.7	0.5	5.0	2.5	Todo	Обработка/расчёт при сохранении
0.5.7.4	0.5.7	0.5	6.0	2.5	Todo	Полный цикл редактора по фреймворку + AI
0.5.7.5	0.5.7	0.5	4.0	2.0	Todo	Write-through плеч в легаси
0.5.7.6	0.5.7	0.5	5.0	3.0	Todo	Исправление ошибок фреймворка
0.5.7.7	0.5.7	0.5	3.0	2.0	Todo	Нестандартный функционал
0.5.7.8	0.5.7	0.5	3.0	2.0	Todo	Внутреннее тестирование
0.5.7.9	0.5.7	0.5	2.0	2.0	Todo	UAT
0.5.7.10	0.5.7	0.5	3.0	2.5	Todo	Релиз на продуктив
0.5.7.11	0.5.7	0.5	1.0	0.8	Todo	Критерии exit dual-run для пилота
0.5.7.12	0.5.7	0.5	0.5	0.5	Todo	Замер факт 2 модели + факт (калибровка)
0.5.7.13	0.5.7	0.5	3.0	2.0	Todo	Стабилизационное окно ≥2 нед. (critical до 0.6)
0.5.8.1	0.5.8	0.5	8.0	6.0	Todo	Пентест контура записи (до первого Gate B)
0.5.9.1	0.5.9	0.5	4.0	2.0	Todo	План резервного копирования и восстановления
0.6.1.1	0.6.1	0.6	3.0	1.5	Todo	Анализ и постановка требований загрузчика
0.6.1.2	0.6.1	0.6	5.0	2.5	Partial	Прототипирование
0.6.2.1	0.6.2	0.6	4.0	2.0	Partial	Страница/компоненты Excel-загрузчика
0.6.2.2	0.6.2	0.6	3.0	1.5	Partial	Парсинг Excel → DTO
0.6.2.3	0.6.2	0.6	3.0	1.5	Partial	Прогресс, ошибки парсинга/валидации/загрузки
0.6.2.4	0.6.2	0.6	3.0	2.0	Todo	Партиальный успех батча (валидные / отчёт ошибок)
0.6.2.5	0.6.2	0.6	4.0	2.0	Todo	Стейджинг и UI просмотра
0.6.2.6	0.6.2	0.6	2.0	1.5	Todo	Внутреннее тестирование UI загрузки
0.6.2.7	0.6.2	0.6	2.0	1.0	Todo	Защита Excel: content-type, zip-bomb
0.6.3.1	0.6.3	0.6	3.0	1.5	Todo	Переиспользование валидаций/команд редактора
0.6.3.2	0.6.3	0.6	6.0	3.0	Todo	Оркестрация пайплайна загрузки (write-through)
0.6.3.3	0.6.3	0.6	1.5	0.8	Todo	Проверка прав в загрузчике
0.6.3.4	0.6.3	0.6	1.5	0.8	Todo	Трассировка и логирование
0.6.3.5	0.6.3	0.6	1.0	0.5	Todo	Вызов точки расширения аудита
0.6.3.6	0.6.3	0.6	3.0	2.0	Todo	Внутреннее тестирование оркестрации
0.6.4.1	0.6.4	0.6	0.0	2.5	Todo	Экспертные знания навыку агента (загрузчик)
0.6.4.2	0.6.4	0.6	0.0	2.5	Todo	Конфигурация skills/commands для загрузчика
0.6.5.1	0.6.5	0.6	1.5	0.8	Todo	Сбор требований пилота загрузчика плеч
0.6.5.2	0.6.5	0.6	2.0	1.0	Todo	Валидация (reuse из редактора)
0.6.5.3	0.6.5	0.6	2.0	1.0	Todo	Обработка/расчёт при загрузке
0.6.5.4	0.6.5	0.6	4.0	1.5	Todo	Полный цикл загрузчика по фреймворку + AI
0.6.5.5	0.6.5	0.6	2.0	1.0	Todo	Write-through транспортных плеч
0.6.5.6	0.6.5	0.6	3.0	2.0	Todo	Исправление ошибок фреймворка
0.6.5.7	0.6.5	0.6	2.0	1.5	Todo	Нестандартный функционал загрузчика
0.6.5.8	0.6.5	0.6	2.5	1.5	Todo	Внутреннее тестирование
0.6.5.9	0.6.5	0.6	2.0	2.0	Todo	UAT
0.6.5.10	0.6.5	0.6	3.0	2.5	Todo	Релиз на продуктив
0.6.5.11	0.6.5	0.6	0.5	0.5	Todo	Замер факт 2 модели + факт (калибровка)
0.6.6.1	0.6.6	0.6	6.0	3.0	Todo	Руководство администратора
0.7.1.1	0.7.1	0.7	1.5	0.8	Done	Список редакторов/загрузчиков по доменам
0.7.1.2	0.7.1	0.7	8.0	4.0	Todo	Требования к полям/компонентам по доменам
0.7.2.1	0.7.2	0.7	22.0	11.0	Todo	Редактор Rates: Ставки
0.7.2.2	0.7.2	0.7	10.0	5.0	Todo	Пересчёт AverageRateLevel3 в C# (CRUD нет)
0.7.2.3	0.7.2	0.7	7.0	3.0	Todo	Загрузчик Rates: Ставки
0.7.2.4	0.7.2	0.7	6.0	2.0	Todo	Редактор ParityRates: Паритетные ставки
0.7.2.5	0.7.2	0.7	2.5	0.8	Todo	Загрузчик ParityRates: Паритетные ставки
0.7.2.6	0.7.2	0.7	6.0	2.0	Todo	Редактор RateType: Тип ставки
0.7.2.7	0.7.2	0.7	2.5	0.8	Todo	Загрузчик RateType: Тип ставки
0.7.2.8	0.7.2	0.7	6.0	2.0	Todo	Редактор Coefficient: Коэффициент
0.7.2.9	0.7.2	0.7	6.0	2.0	Todo	Редактор Priority_Rate: Приоритеты типов ставок
0.7.2.10	0.7.2	0.7	2.5	0.8	Todo	Загрузчик Priority_Rate: Приоритеты типов ставок
0.7.2.11	0.7.2	0.7	6.0	2.0	Todo	Редактор RateSyncClass: Класс синхронизации ставок
0.7.2.12	0.7.2	0.7	2.5	0.8	Todo	Загрузчик RateSyncClass: Класс синхронизации ставок
0.7.2.13	0.7.2	0.7	6.0	2.0	Todo	Редактор Basis: Базисы поставки
0.7.2.14	0.7.2	0.7	2.5	0.8	Todo	Загрузчик Basis: Базисы поставки
0.7.2.15	0.7.2	0.7	6.0	2.0	Todo	Редактор CoefficientCondition: Условие коэффициента
0.7.2.16	0.7.2	0.7	2.5	0.8	Todo	Загрузчик CoefficientCondition: Условие коэффициента
0.7.2.17	0.7.2	0.7	6.0	2.0	Todo	Редактор RateAutoSelectionSetting: Настройка автоподбора ставок
0.7.2.18	0.7.2	0.7	6.0	2.0	Todo	Редактор ReportConstructor: Конструктор отчётов ставок
0.7.2.19	0.7.2	0.7	22.0	11.0	Todo	Редактор TransportRoute: Транспортный маршрут
0.7.2.20	0.7.2	0.7	7.0	3.0	Todo	Загрузчик TransportRoute: Транспортный маршрут
0.7.2.21	0.7.2	0.7	6.0	2.0	Todo	Редактор Region: Регион
0.7.2.22	0.7.2	0.7	2.5	0.8	Todo	Загрузчик Region: Регион
0.7.2.23	0.7.2	0.7	6.0	2.0	Todo	Редактор Country: Страна
0.7.2.24	0.7.2	0.7	2.5	0.8	Todo	Загрузчик Country: Страна
0.7.2.25	0.7.2	0.7	6.0	2.0	Todo	Редактор TransportKind: Вид транспорта
0.7.2.26	0.7.2	0.7	2.5	0.8	Todo	Загрузчик TransportKind: Вид транспорта
0.7.2.27	0.7.2	0.7	6.0	2.0	Todo	Редактор TransportType: Тип транспорта
0.7.2.28	0.7.2	0.7	2.5	0.8	Todo	Загрузчик TransportType: Тип транспорта
0.7.2.29	0.7.2	0.7	6.0	2.0	Todo	Редактор TransportType_level_3: Типы транспорта (3 уровень)
0.7.2.30	0.7.2	0.7	2.5	0.8	Todo	Загрузчик TransportType_level_3: Типы транспорта (3 уровень)
0.7.2.31	0.7.2	0.7	6.0	2.0	Todo	Редактор Federal_Districts: Федеральные округа
0.7.2.32	0.7.2	0.7	2.5	0.8	Todo	Загрузчик Federal_Districts: Федеральные округа
